Cod_Regiune,act_wee_wo_ho,emp_pers,emp_tech_agriculture,emp_tech_education,emp_tech_electricity_and_gas,emp_tech_finance_and_insurance,emp_tech_high_tech_knowhow_intensive,emp_tech_high_tech_sectors,emp_tech_human_health_and_social_work,emp_tech_info_and_communcation,emp_tech_manufacturing,emp_tech_public_administration,emp_tech_services,emp_tech_transport,emp_tech_wholesale_and_retail_trade,gdp,gva,hr_st,inab_finan_expen,labour_force,labour_mk_slack,pop_prv_host_ed,pop_tot_20_64,y_nw_ned_nt
ITF5,36,186.2,19.1,17.9,22,3,3.1,3.2,18.8,2.7,27.5,13.5,125.2,5.9,37.2,14704.39,0.4,23.3,23.6,201,57,59.6,317474,20
ITF6,35.8,518.7,54.7,55.5,55.9,7.8,14.6,15.6,47,15,30.8,45.8,397.5,23.5,120.9,38956.76,1.4,24.2,61.2,618,272.2,194.4,1081472,32.8
ITG1,35,1362.6,125.2,149.7,132,21.4,24.8,36.5,133.7,23.1,110.6,118.1,1040.7,56.4,328.9,110159.48,2.2,22,45.3,1616.2,723.8,451.5,2820864,34
ITG2,35.4,554.1,32.9,44.7,51.7,11.1,15.8,16.5,61.8,15.4,37.8,43.5,452.7,21.5,165.6,41428.07,1.3,22,52.9,615.6,183.1,165.2,932139,23.7
ITH1,36.3,247.5,12,22.6,22.1,7.1,3.6,4.3,26.5,3.7,35.6,12.7,191.3,9.1,77.6,32026.7,1.2,19,16.8,252.4,14,55.7,314464,9.8
ITH2,35.7,236.2,11,21.5,21.2,6.8,8.7,10,26.6,8.6,38.2,14.1,174,10.7,50.8,25205.27,0.1,24.9,20.1,244.8,21.9,70.7,315451,11.5
ITH3,36.5,2137.7,65.5,122.8,163.6,52.2,54.1,70.4,155.1,56.6,602.5,65.3,1383.4,98.6,470.2,197137.46,1,22.1,25.5,2229.6,189.6,562.3,2844545,12.8
ITH4,36.2,500.1,15.1,35.2,37.9,13.5,13.8,17.8,43.8,12.7,116.4,35.2,348.5,23.3,107.3,45011.36,-0.5,23.7,21,523.1,53,142.6,683296,13.4
ITH5,36.4,1949.7,62,123.1,144.1,46.5,51.8,69,160.7,54.5,522.9,74.4,1285.3,89,434.8,192636.6,0,25.3,12.1,2050.2,221.7,590.3,2595273,13.5
ITI1,36,1554.8,48.3,98.1,116.3,39.1,43.1,57.9,132.2,43,317.4,81.1,1138.8,72,401.9,137818.56,-0.1,23.7,16.8,1639.4,197.1,445.8,2108437,13.5
ITI2,35.8,346.3,10.7,28.8,29.7,6.2,10.5,13.1,25.3,9.3,71.9,19,248.4,13.8,87.8,26087.97,0,25.4,20,368.1,49.5,110.9,487590,12.9
ITI3,35.6,615.8,21.2,41.4,44.5,12.6,10.5,15.2,49,10.5,169.6,30.3,402.2,21.2,142.6,49206.18,0.3,24.5,22.6,649.4,75.8,189.3,854324,13
